epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.667,2.97276,2.99987,4.14574,0.00349,0.97794,0.24199,0.04341,2.91069,3.41078,4.13425,0.000647059,0.000647059,0.000647059
2,280.244,2.69283,2.78693,3.70711,0.04334,0.97794,0.61774,0.22262,2.19752,4.04217,4.0232,0.00128771,0.00128771,0.00128771
3,417.335,2.4075,2.64409,3.25056,0.04807,0.97794,0.25285,0.11148,2.13405,9.72738,4.16763,0.00190197,0.00190197,0.00190197
4,550.635,2.09129,2.46235,2.86891,0.29336,0.3602,0.24939,0.09545,2.44089,2.94645,3.2955,0.0018812,0.0018812,0.0018812
5,684.506,1.94785,2.27615,2.61748,0.48012,0.63971,0.52948,0.24833,1.39387,2.32052,2.38547,0.0018416,0.0018416,0.0018416
6,817.888,1.77003,2.03477,2.42444,0.41155,0.66912,0.59989,0.23757,1.75181,2.12796,2.68537,0.001802,0.001802,0.001802
7,949.739,1.58457,1.79761,2.27694,0.86904,0.75,0.89539,0.61713,1.11171,1.82449,1.84341,0.0017624,0.0017624,0.0017624
8,1092.81,1.43211,1.56084,2.11953,0.68962,0.70588,0.78502,0.49631,1.07099,1.76123,2.00353,0.0017228,0.0017228,0.0017228
9,1242.59,1.39727,1.52651,2.05124,0.7335,0.87022,0.86003,0.5969,0.98993,1.35557,1.67522,0.0016832,0.0016832,0.0016832
10,1386.41,1.18068,1.28745,1.81939,0.92315,0.96324,0.97318,0.72452,0.8911,1.36829,1.62185,0.0016436,0.0016436,0.0016436
11,1530.48,1.09733,1.17762,1.7396,0.99198,0.90956,0.97896,0.55973,1.22971,1.29066,1.91129,0.001604,0.001604,0.001604
12,1679.6,1.05278,1.10606,1.66413,0.81915,0.94118,0.93823,0.55926,1.13135,1.25788,1.69256,0.0015644,0.0015644,0.0015644
